Type,Name,Statement,Where,Date,Link
30,true,Chip Roy,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,hearing,"July 29, 2021",https://www.politifact.com/factchecks/2021/aug/06/chip-roy/among-rare-cases-voter-fraud-texas-mail-ballot-fra/
31,true,Mandela Barnes,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",Twitter,"May 23, 2021",https://www.politifact.com/factchecks/2021/jun/19/mandela-barnes/yes-its-been-decades-minimum-wage-kept-inflation-a/
32,true,Glenn Grothman,“We have a record 9.3 million job openings in the U.S.”,Twitter,"June 8, 2021",https://www.politifact.com/factchecks/2021/jun/18/glenn-grothman/grothman-right-claim-93-million-jobs-are-open-us/
33,true,Mark Born,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",Twitter,"June 2, 2021",https://www.politifact.com/factchecks/2021/jun/18/mark-born/state-rep-born-claim-unemployment-claims-pandemic-/
34,true,Lorraine Lewandrowski,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,hearing of New York Senate Agriculture Committee,"February 24, 2021",https://www.politifact.com/factchecks/2021/jun/07/lorraine-lewandrowski/whole-milk-prohibited-being-offered-new-york-schoo/
35,true,Mandela Barnes,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",Twitter,"May 23, 2021",https://www.politifact.com/factchecks/2021/jun/02/mandela-barnes/yes-pay-ceos-has-far-outpaced-compensation-average/
36,true,Tim Kaine,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",oped,"May 24, 2021",https://www.politifact.com/factchecks/2021/may/27/tim-kaine/police-misconduct-settlements-can-shift-city-budge/
37,true,Wisconsin Republican Legislative leaders,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Twitter,"April 7, 2021",https://www.politifact.com/factchecks/2021/may/25/wisconsin-republican-legislative-leaders/yes-evers-proposed-budget-would-return-states-gene/
38,true,Robert Martwick,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,podcast interview,"May 10, 2021",https://www.politifact.com/factchecks/2021/may/23/robert-martwick/yes-large-majorities-support-elected-chicago-schoo/
39,true,Greg Abbott,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,interview,"May 18, 2021",https://www.politifact.com/factchecks/2021/may/21/greg-abbott/job-openings-texas-match-number-people-unemploymen/
40,true,Lindsay James,"“There are more job openings than there are people on unemployment"" in Iowa.",tweet,"May 11, 2021",https://www.politifact.com/factchecks/2021/may/12/lindsay-james/low-unemployment-iowa-after-pandemic/
41,true,Jeff Jackson,Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,tweet,"May 3, 2021",https://www.politifact.com/factchecks/2021/may/07/jeff-jackson/us-senate-candidate-right-about-north-carolina-bod/
42,true,Kevin Kiley,“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,tweet,"April 26, 2021",https://www.politifact.com/factchecks/2021/apr/29/kevin-kiley/true-san-francisco-had-far-more-drug-overdose-deat/
43,true,Kirk Cox,On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,radio interview,"April 7, 2021",https://www.politifact.com/factchecks/2021/apr/28/kirk-cox/under-new-virginia-law-pound-pot-will-bring-25-fin/
44,true,Van Wanggaard,Foxconn “is the largest taxpayer in Racine County.”,Statement,"April 19, 2021",https://www.politifact.com/factchecks/2021/apr/27/van-wanggaard/yes-foxconn-largest-taxpayer-racine-county/
45,true,Zach Wahls,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",weekly newsletter,"April 8, 2021",https://www.politifact.com/factchecks/2021/apr/22/zach-wahls/american-rescue-plan-has-4-billion-food-distributi/
46,true,Pete Buttigieg,“There is racism physically built into some of our highways.”,interview with The Grio,"April 6, 2021",https://www.politifact.com/factchecks/2021/apr/15/pete-buttigieg/pete-buttigieg-right-racism-shaped-some-urban-high/
47,true,Greg Abbott,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,tweet,"March 30, 2021",https://www.politifact.com/factchecks/2021/apr/06/greg-abbott/yes-number-kids-border-patrol-custody-double-2019s/
48,true,Facebook posts,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Facebook post,"March 30, 2021",https://www.politifact.com/factchecks/2021/mar/31/facebook-posts/yes-matt-gaetz-was-lone-no-vote-human-trafficking-/
49,true,Tony Evers,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",TV interview,"March 14, 2021",https://www.politifact.com/factchecks/2021/mar/29/tony-evers/yes-there-are-just-few-wisconsin-school-districts-/
50,true,Jim Justice,West Virginia “is the only state to decline in population over the last 70 years”,tweet,"March 4, 2021",https://www.politifact.com/factchecks/2021/mar/25/jim-justice/west-virginia-only-state-decline-population-over-l/
51,true,Terry McAuliffe,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",speech,"March 10, 2021",https://www.politifact.com/factchecks/2021/mar/22/terry-mcauliffe/va-teachers-pay-last-compared-full-time-year-round/
52,true,Barbara Dittrich,"""Pot today is not the weed baby boomers were smoking.""",Column,"February 16, 2021",https://www.politifact.com/factchecks/2021/mar/19/barbara-dittrich/yes-marijuana-stronger-it-used-be/
53,true,Beth Wessel-Kroeschell,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",public comments,"January 22, 2021",https://www.politifact.com/factchecks/2021/mar/12/beth-wessel-kroeschell/majority-iowans-and-americans-support-background-c/
54,true,Facebook posts,The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,Facebook post,"March 2, 2021",https://www.politifact.com/factchecks/2021/mar/09/facebook-posts/georgia-bill-would-ban-giving-food-water-voters-li/
55,true,Chuck Todd,“The filibuster was never an idea of the founding fathers.”,remarks,"March 7, 2021",https://www.politifact.com/factchecks/2021/mar/08/chuck-todd/founders-didnt-put-senate-filibuster-constitution/
56,true,Energy Transfer,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,testimony,"February 26, 2021",https://www.politifact.com/factchecks/2021/mar/05/energy-transfer/gas-pipelines-didnt-freeze-during-texas-winter-sto/
57,true,Chris Kapenga,"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",Twitter,"February 10, 2021",https://www.politifact.com/factchecks/2021/mar/05/chris-kapanga/yes-marijuana-can-increase-risk-schizophrenia-and-/
58,true,Tom Cotton,"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",digital ad opposing Xavier Becerras nomination to be HHS secretary,"February 22, 2021",https://www.politifact.com/factchecks/2021/mar/01/tom-cotton/becerras-longtime-single-payer-supporter-doesnt-me/
59,true,Tom Wolf,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,speech,"February 22, 2021",https://www.politifact.com/factchecks/2021/feb/25/tom-wolf/fact-checking-gov-tom-wolfs-statement-pa-only-stat/
60,true,Cory Booker,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",statement,"February 9, 2021",https://www.politifact.com/factchecks/2021/feb/22/cory-booker/sen-cory-booker-right-about-legacy-usda-bias-again/
61,true,Beto O'Rourke,"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",tweet,"February 16, 2021",https://www.politifact.com/factchecks/2021/feb/19/beto-orourke/beto-orourke-said-texas-was-warned-years-about-pow/
62,true,Facebook posts,"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",Facebook post,"February 16, 2021",https://www.politifact.com/factchecks/2021/feb/18/facebook-posts/yes-aversion-federal-regulation-drove-texas-isolat/
63,true,Gordon Hintz,"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",TV interview,"February 5, 2021",https://www.politifact.com/factchecks/2021/feb/12/gordon-hintz/wisconsin-assembly-minority-leader-right-relations/
64,true,Chuck Grassley,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",tweet,"January 14, 2021",https://www.politifact.com/factchecks/2021/feb/02/chuck-grassley/why-are-insulin-prices-going-chuck-grassley-explai/
65,true,Jenna Wadsworth,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",tweet,"January 26, 2021",https://www.politifact.com/factchecks/2021/feb/02/jenna-wadsworth/elaine-marshall-has-won-more-statewide-races-anyon/
66,true,Jennifer Boysko,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",committee debate,"January 18, 2021",https://www.politifact.com/factchecks/2021/jan/28/jennifer-boysko/us-only-industrialized-nation-no-paid-family-leave/
67,true,Marco Rubio,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",tweet,"January 22, 2021",https://www.politifact.com/factchecks/2021/jan/27/marco-rubio/how-joe-bidens-first-executive-orders-compare-past/
68,true,Tony Evers,"""We put $330 million in general school aids — the largest in more than a decade.""",Speech,"January 12, 2021",https://www.politifact.com/factchecks/2021/jan/26/tony-evers/gov-tony-evers-money-claim-about-increase-general-/
69,true,Pat Toomey,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,hearing,"January 19, 2021",https://www.politifact.com/factchecks/2021/jan/21/pat-toomey/fact-checking-pat-toomeys-claim-families-six-figur/
70,true,Kirk Cox,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,speech,"January 13, 2021",https://www.politifact.com/factchecks/2021/jan/20/kirk-cox/virginia-among-slowest-states-vaccine-rollout-cox-/
71,true,Devin LeMahieu,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",TV interview,"January 10, 2021",https://www.politifact.com/factchecks/2021/jan/15/devin-lemahieu/yes-slow-absentee-count-explains-supposed-ballot-d/
72,true,Sarah Godlewski,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Twitter,"January 9, 2021",https://www.politifact.com/factchecks/2021/jan/15/sarah-godlewski/black-and-latina-women-carried-brunt-job-loss-dece/
73,true,Jake Tapper,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,remarks,"January 13, 2021",https://www.politifact.com/factchecks/2021/jan/13/jake-tapper/how-bipartisan-was-vote-impeach-donald-trump-histo/
74,true,Sherrod Brown,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",interview with Ohio reporters,"January 8, 2021",https://www.politifact.com/factchecks/2021/jan/11/sherrod-brown/black-lives-matter-protests-faced-more-militarized/
75,true,Kim Reynolds,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",news conference,"January 7, 2021",https://www.politifact.com/factchecks/2021/jan/11/kim-reynolds/pre-pandemic-iowa-had-largest-workforce-state-hist/
76,true,Mitch McConnell,"""This election actually was not unusually close.""",Senate floor speech,"January 6, 2021",https://www.politifact.com/factchecks/2021/jan/08/mitch-mcconnell/mitch-mcconnell-says-accurately-joe-bidens-win-was/
77,true,Joe Biden,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",speech,"January 7, 2021",https://www.politifact.com/factchecks/2021/jan/08/joe-biden/joe-biden-right-more-60-trumps-election-lawsuits-l/
78,true,Mike Gallagher,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,statement,"January 3, 2021",https://www.politifact.com/factchecks/2021/jan/04/mike-gallagher/congresss-task-simply-count-electoral-votes/
79,true,Pat Toomey,"“In my state, as in many other states, we have governors who are closing down businesses again.”",interview,"December 27, 2020",https://www.politifact.com/factchecks/2020/dec/30/pat-toomey/fact-checking-sen-pat-toomeys-comment-pa-gov-tom-w/
80,true,Chris Larson,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,Twitter,"November 9, 2020",https://www.politifact.com/factchecks/2020/dec/21/chris-larson/yes-majority-wisconsin-jurisdictions-support-nonpa/
81,true,Mike Gallagher,"""New data shows in-person learning isn't driving spikes in cases.""",tweet,"December 7, 2020",https://www.politifact.com/factchecks/2020/dec/18/mike-gallagher/data-shows-person-learning-safer-expected-not-driv/
82,true,Tim Carpenter,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,news release,"December 11, 2020",https://www.politifact.com/factchecks/2020/dec/15/tim-carpenter/wisconsin-one-few-states-ban-absentee-ballot-proce/
83,true,JB Pritzker,"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",remarks at news conference,"November 17, 2020",https://www.politifact.com/factchecks/2020/dec/06/jb-pritzker/yes-conservatives-did-share-false-post-about-pritz/
84,true,Mandy Cohen,Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,press conference,"December 1, 2020",https://www.politifact.com/factchecks/2020/dec/04/mandy-cohen/nc-covid-19-deaths-surpass-10-years-flu-deaths/
85,true,Ralph Northam,"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",radio interview,"December 3, 2020",https://www.politifact.com/factchecks/2020/dec/03/ralph-northam/northam-right-about-about-racial-disparities-pot-a/
86,true,Tweets,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",tweets,"November 18, 2020",https://www.politifact.com/factchecks/2020/nov/20/tweets/yes-donald-trump-claimed-fraud-after-2016-iowa-cau/
87,true,Tammy Baldwin,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",TV interview,"November 15, 2020",https://www.politifact.com/factchecks/2020/nov/17/tammy-baldwin/yes-department-homeland-security-declared-nov-3-el/
88,true,Joe Biden,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",rally,"October 31, 2020",https://www.politifact.com/factchecks/2020/oct/31/joe-biden/yes-joe-biden-has-released-22-years-tax-returns-on/
89,true,Theresa Greenfield,"Farm bankruptcies are ""at an eight-year high.""",comments at campaign rally,"October 30, 2020",https://www.politifact.com/factchecks/2020/oct/31/theresa-greenfield/fact-check-farm-bankruptcies-highest-8-years/
90,true,Roy Cooper,"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",debate,"October 14, 2020",https://www.politifact.com/factchecks/2020/oct/30/roy-cooper/cooper-right-about-forest-education-board-attendan/
91,true,Robyn Vining,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,interview,"October 25, 2020",https://www.politifact.com/factchecks/2020/oct/29/robyn-vining/yes-because-gerrymandering-only-one-republican-ass/
92,true,Facebook posts,Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,post,"October 25, 2020",https://www.politifact.com/factchecks/2020/oct/29/facebook-posts/yes-biden-seeks-eliminate-policy-reduces-inheritan/
93,true,Chris Jacobs,"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",campaign mailer,"October 22, 2020",https://www.politifact.com/factchecks/2020/oct/28/chris-jacobs/jacobs-charge-mcmurray-raised-taxes-grand-island-c/
94,true,Roy Cooper,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",debate,"October 14, 2020",https://www.politifact.com/factchecks/2020/oct/15/roy-cooper/roy-cooper-compares-georgias-covid-19-numbers-nort/
95,true,Jim Justice,“West Virginia has one of the greatest percentages of veterans in any state.”,Facebook post,"September 14, 2020",https://www.politifact.com/factchecks/2020/oct/15/jim-justice/fact-checking-jim-justice-west-virginias-veteran-p/
96,true,Facebook posts,“Wisconsin Republicans have not passed a single bill in 6 months.”,Facebook post,"October 4, 2020",https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/yes-wisconsin-legislators-havent-passed-bill-6-mon/
97,true,Joe Biden,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,NBC town hall,"October 5, 2020",https://www.politifact.com/factchecks/2020/oct/06/joe-biden/fbi-director-warned-about-white-supremacist-violen/
98,true,Phil Scott,"“That 5% (wealth tax) starts at $159,000 per family.”",debate,"September 29, 2020",https://www.politifact.com/factchecks/2020/oct/04/phil-scott/would-zuckermans-wealth-tax-top-5-impact-middle-cl/
99,true,Michael Burgess,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,tweet,"September 19, 2020",https://www.politifact.com/factchecks/2020/sep/25/michael-burgess/how-many-adults-get-flu-shots-each-year/
100,true,Chris Larson,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,tweet,"September 23, 2020",https://www.politifact.com/factchecks/2020/sep/25/chris-larson/yes-republicans-could-end-evers-state-emergency-an/
101,true,Caleb Rowden,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",post,"September 4, 2020",https://www.politifact.com/factchecks/2020/sep/18/caleb-rowden/rowdens-right-cares-act-funds-werent-paid-out/
102,true,Joe Biden,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,oped,"September 13, 2020",https://www.politifact.com/factchecks/2020/sep/17/joe-biden/joe-biden-says-under-donald-trump-irans-uranium-st/
103,true,Nick Freitas,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,radio interview,"September 4, 2020",https://www.politifact.com/factchecks/2020/sep/09/nick-freitas/spanberger-has-voted-pelosi-relatively-low-92-time/
104,true,Democratic Congressional Campaign Committee,Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,TV ad,"August 26, 2020",https://www.politifact.com/factchecks/2020/sep/03/democratic-congressional-campaign-committee/freitas-has-backed-plans-undercut-coverage-preexis/
105,true,Facebook posts,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,Facebook post,"August 26, 2020",https://www.politifact.com/factchecks/2020/aug/28/facebook-posts/yes-police-gave-kyle-rittenhouse-water-and-thanked/
106,true,Chris Larson,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",Facebook post,"August 24, 2020",https://www.politifact.com/factchecks/2020/aug/27/chris-larson/yes-police-were-208-more-likely-kill-be-killed-cri/
107,true,Michelle Obama,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”",Democratic convention speech,"August 17, 2020",https://www.politifact.com/factchecks/2020/aug/18/michelle-obama/michelle-obama-right-2-votes-precinct-enabled-trum/
108,true,National Republican Senatorial Committee,"Cal Cunningham ""voted for over $1 billion in new taxes.”",ad,"July 17, 2020",https://www.politifact.com/factchecks/2020/aug/13/national-republican-senatorial-committee/attack-ad-right-about-cunninghams-2001-budget-vote/
109,true,Cory Booker,Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,interview,"July 30, 2020",https://www.politifact.com/factchecks/2020/aug/13/cory-booker/cory-booker-said-us-senate-dominated-millionaires-/
110,true,Instagram posts,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",tweet,"August 5, 2020",https://www.politifact.com/factchecks/2020/aug/06/instagram-posts/yes-trump-lawyer-helped-kanye-west-try-get-wiscons/
111,true,M.J. Hegar,"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”",speech,"July 22, 2020",https://www.politifact.com/factchecks/2020/jul/30/mj-hegar/how-many-texans-cant-access-health-insurance-cover/
112,true,Joe Biden,"On home health workers’ low pay and limited benefits, “40% are still on SNAP or Medicaid.”",campaign speech,"July 21, 2020",https://www.politifact.com/factchecks/2020/jul/28/joe-biden/biden-right-pay-home-health-workers-paltry/
113,true,Donald Trump,“Murders this year have spiked 27% in Philadelphia.”,speech,"July 22, 2020",https://www.politifact.com/factchecks/2020/jul/24/donald-trump/fact-checking-trump-rising-murders-philly/
114,true,Public Citizen,"“Taxpayers spent $70,000,000 to develop this drug ( remdesivir).""",tweet,"June 29, 2020",https://www.politifact.com/factchecks/2020/jul/23/public-citizen/yes-taxpayers-have-sunk-least-70-million-developin/
115,true,Mike Gallagher,"""The average family in America forks over more of their hard-earned income to their local hospital than to the IRS.”",TV interview,"June 25, 2020",https://www.politifact.com/factchecks/2020/jul/22/mike-gallagher/yes-average-american-family-pays-more-hospital-exp/
